run_date,row_index,source_asset_id,true_pot_id,predicted_pot_id,pot_correct,is_error,is_silent_error,error_class,mapping_status,final_status,resolution_source,mapping_note,truth_source,truth_note
2026-02-25,1,AF1QipPU9RHgErKWJwJJ92pF-E0klp18nr0eMqppu6yS,1T,1T,1,0,0,correct,ok,ready_auto_resolved,manual_override,pot_id_inferred_from_run_sequence; ocr_confirms_pot_number; variety_from_series_number_map; series_from_manual_pot_override,caption_tag,Derived from *_NN caption token
2026-02-25,2,AF1QipP3uLTxp7JBdSEI1arLdrVpzmVWxPsfUREzogQc,2T,2T,1,0,0,correct,ok,ready_auto_resolved,manual_override,pot_id_inferred_from_run_sequence; ocr_confirms_pot_number; variety_from_series_number_map; series_from_manual_pot_override,caption_tag,Derived from *_NN caption token
2026-02-25,3,AF1QipMhYY3ADKACHG7cdnyQKr5EB6ubpjjpWykvU06O,3T,3T,1,0,0,correct,ok,ready_auto_resolved,manual_override,pot_id_inferred_from_run_sequence; ocr_confirms_pot_number; variety_from_series_number_map; series_from_manual_pot_override,caption_tag,Derived from *_NN caption token
2026-02-25,4,AF1QipND0gAwfUQ1xbVpfJqHJ7hJJjb6fhFYSQdo4CWe,4T,4T,1,0,0,correct,ok,ready_auto_resolved,manual_override,pot_id_inferred_from_run_sequence; ocr_confirms_pot_number; variety_from_series_number_map; series_from_manual_pot_override,caption_tag,Derived from *_NN caption token
2026-02-25,5,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,5T,5T,1,0,0,correct,ok,ready_auto_resolved,manual_override,pot_id_inferred_from_run_sequence; ocr_confirms_pot_number; variety_from_series_number_map; series_from_manual_pot_override,caption_tag,Derived from *_NN caption token
2026-02-25,6,AF1QipPy0PJSqnwpfWm_W4pspUcOt_QTWuAzcKvpBi_4,6T,6T,1,0,0,correct,ok,ready_auto_resolved,manual_override,pot_id_inferred_from_run_sequence; variety_from_series_number_map; series_from_manual_pot_override,caption_tag,Derived from *_NN caption token
2026-02-25,7,AF1QipMB-jUQ93DXcLOwaHZnlF1J7IK3rz6IW8Dgpv2B,7T,7T,1,0,0,correct,ok,ready_auto_resolved,manual_override,pot_id_inferred_from_run_sequence; ocr_confirms_pot_number; variety_from_series_number_map; series_from_manual_pot_override,caption_tag,Derived from *_NN caption token
2026-02-25,8,AF1QipM6AUa6pLQQ6rWh54k2_an_Z5J1ijOLl5S1vVYB,8T,8T,1,0,0,correct,ok,ready_auto_resolved,manual_override,pot_id_inferred_from_run_sequence; variety_from_series_number_map; series_from_manual_pot_override,caption_tag,Derived from *_NN caption token
2026-02-25,9,AF1QipPBKSwU3sjNcQQSkKhJlcDXrMPgsJUsYU4qxJBM,9T,9T,1,0,0,correct,ok,ready_auto_resolved,manual_override,pot_id_inferred_from_run_sequence; ocr_confirms_pot_number; variety_from_series_number_map; series_from_manual_pot_override,caption_tag,Derived from *_NN caption token
2026-02-25,10,AF1QipOjuN57XrR72JGpYJD-MNFmDIU5mMfTXiSqesvx,10T,10T,1,0,0,correct,ok,ready_auto_resolved,manual_override,pot_id_inferred_from_run_sequence; variety_from_series_number_map; series_from_manual_pot_override,caption_tag,Derived from *_NN caption token
2026-02-25,11,AF1QipOD-4JZKFoLLmop8kf5UrZVgFK997FlrUV2bfDK,11T,11T,1,0,0,correct,ok,ready_auto_resolved,manual_override,pot_id_inferred_from_run_sequence; ocr_confirms_pot_number; variety_from_series_number_map; series_from_manual_pot_override,caption_tag,Derived from *_NN caption token
2026-02-25,12,AF1QipOFj7AJ4wBEzoSghT-FmoK39t8yyzYEN5BeNu8N,12T,12T,1,0,0,correct,ok,ready_auto_resolved,manual_override,pot_id_inferred_from_run_sequence; variety_from_series_number_map; series_from_manual_pot_override,caption_tag,Derived from *_NN caption token
2026-02-25,13,AF1QipNPL4nt2YpB_XIcQzYhO655wqvWMHRH-KHmtrYL,13T,13T,1,0,0,correct,ok,ready_auto_resolved,baseline_continuity,series_from_baseline_pot_mapping,caption_tag,Derived from *_NN caption token
2026-02-25,14,AF1QipOKLGjadxmA3cB21dGUO7lBOdTQURwF1BvGZdiR,14T,14T,1,0,0,correct,ok,ready_auto_resolved,baseline_continuity,series_from_baseline_pot_mapping,caption_tag,Derived from *_NN caption token
2026-02-25,15,AF1QipN2YoB1bCy4GtnTmb14BMvYRBvSTUZ2eqDUQChh,15T,15T,1,0,0,correct,ok,ready_auto_resolved,baseline_continuity,series_from_baseline_pot_mapping,caption_tag,Derived from *_NN caption token
2026-02-25,16,AF1QipOLVxSyli52QM5HMEqdgY_3saaI5bYdnoJgIolG,16T,16T,1,0,0,correct,ok,ready_direct,direct_detection,,caption_tag,Derived from *_NN caption token
2026-02-25,17,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,17T,17T,1,0,0,correct,ok,ready_direct,direct_detection,,caption_tag,Derived from *_NN caption token
2026-02-25,18,AF1QipP1dMtVzUEgy1xAa-BPODBu3C8Mv1MxdVczHmsv,18T,18T,1,0,0,correct,ok,ready_auto_resolved,baseline_continuity,series_from_baseline_pot_mapping,caption_tag,Derived from *_NN caption token
2026-02-25,19,AF1QipNjCXO2DCyYSPo8z8XBD0Ec50YkcouPnONL4iMi,19T,19T,1,0,0,correct,ok,ready_auto_resolved,baseline_continuity,series_from_baseline_pot_mapping,caption_tag,Derived from *_NN caption token
2026-02-25,20,AF1QipOWtl-WwkecNu9F9l_igA2_xjUTX61phekqUISY,20T,20T,1,0,0,correct,ok,ready_auto_resolved,baseline_continuity,series_from_baseline_pot_mapping,caption_tag,Derived from *_NN caption token
2026-02-25,21,AF1QipNgy53gtDiRsdSvAMrdHdBvBkbmKmaU1vFW5Zwz,21T,21T,1,0,0,correct,ok,ready_auto_resolved,baseline_continuity,series_from_baseline_pot_mapping,caption_tag,Derived from *_NN caption token
2026-02-25,22,AF1QipPAAscveydu_pS2BDKBY5GW6c2PcX28PTEVjWAg,22T,22T,1,0,0,correct,ok,ready_auto_resolved,baseline_continuity,series_from_baseline_pot_mapping,caption_tag,Derived from *_NN caption token
2026-02-25,23,AF1QipOyJ1f5YmuDH5yEFsgS-jiPJZezlWGcMT5fMGtw,23T,23T,1,0,0,correct,ok,ready_auto_resolved,baseline_continuity,series_from_baseline_pot_mapping,caption_tag,Derived from *_NN caption token
2026-02-25,24,AF1QipNP68Vw7mvYGsv5QBHZUceKBkEDLjdMJrAvrxd7,24T,24T,1,0,0,correct,ok,ready_auto_resolved,baseline_continuity,series_from_baseline_pot_mapping,caption_tag,Derived from *_NN caption token
2026-02-25,25,AF1QipMsgTsMPe0GgrGEOMSzeDEb5I0btOG77tyXcHuV,25T,25T,1,0,0,correct,ok,ready_auto_resolved,baseline_continuity,series_from_baseline_pot_mapping,caption_tag,Derived from *_NN caption token
2026-02-25,26,AF1QipMEl7diDesLyGqrp1qoRqwhHn3qWfQf49Qfnky2,26T,26T,1,0,0,correct,ok,ready_auto_resolved,baseline_continuity,series_from_baseline_pot_mapping,caption_tag,Derived from *_NN caption token
